id,name,distance_ly,constellation,ra_deg,dec_deg,spectral_class,mass_msun,app_mag,abs_mag,parallax_mas
tvlm-513-46,TVLM 513-46,35,,225.28390833333333,22.833637777777778,M8.5V C,0.09,15.1,14.9,93.166
v857-cen,V* V857 Cen,35.1,,172.93960833333335,-41.04567722222222,M3.5,0.3,11.5,11.4,92.928
1rxs-j1214080-234516,1RXS J121408.0-234516,35.1,,183.53637916666665,-23.754322777777777,M4.5,0.2,14,13.8,92.889
gliese-9349,Gliese 9349,35.1,,167.37672500000002,-24.600629722222223,M2V,0.45,10.4,10.3,92.804
ucac4-444-118477,UCAC4 444-118477,35.2,,302.32585,-1.228971388888889,M5.0V,,14.5,14.3,92.652
ross-145,Ross 145,35.2,,280.49445,31.830526388888888,M2V,0.5,13.1,13,92.613
cwisep-j22562897-4002273,CWISEP J225628.97+400227.3,35.2,,344.1173083333333,40.04166138888889,,0.02,,-0.2,92.592
gliese-3820,Gliese 3820,35.3,,209.79073749999998,-19.835179999999998,M4.5 V,0.2,12.9,12.7,92.469
wise-j2102-4429,WISE J2102-4429,35.3,,315.5006583333334,-44.48875888888889,T9,0.02,,,92.3
2mass-j2228-4310,2MASS J2228-4310,35.4,,337.1204125,-43.173964999999995,T6.5,0.04,,,92.1
gliese-1050,Gliese 1050,35.5,,39.96420833333333,-34.140056666666666,M3,0.4,11.7,11.5,92.003
eggr-381,EGGR 381,35.5,,3.058229166666667,50.419975,DA7.6,0.6,,,91.965
gaia-edr3-881250430700478080,Gaia EDR3 881250430700478080,35.5,,119.66697083333334,32.78852222222222,T2,0.02,,-0.2,91.929
wolf-1478,Wolf 1478,35.5,,217.75297916666668,-12.297869722222222,dM3.5,0.3,11.9,11.7,91.896
ross-594,Ross 594,35.5,,67.6069875,39.847325833333336,M5V,0.2,14,13.8,91.843
gliese-4281,Gliese 4281,35.5,,337.22499166666665,-13.426715555555555,M6.5V,0.1,17.1,17,91.838
gliese-4063,Gliese 4063,35.5,,278.653075,40.12307805555555,M4 V,0.2,,,91.8
lp-847-48,LP 847-48,35.6,,148.848925,-27.262009444444445,M3V,0.4,12.1,11.9,91.737
gliese-3412,Gliese 3412,35.6,,103.5226375,60.86733777777778,M3.0Ve,0.4,,,91.611
v816-her,V* V816 Her,35.7,,280.6873,13.906221111111112,M5V,0.2,12.9,12.7,91.464
2mass-j15345704-1418486,2MASS J15345704-1418486,35.7,,233.73304166666665,-14.31514888888889,M8.6V,,,,91.422
gliese-519,Gliese 519,35.7,,204.37163750000002,35.71750166666667,K7.5Ve,0.7,,,91.388
dn-draconis,DN Draconis,35.7,,252.10795416666667,59.054970555555556,DA4.0,0.7,12.2,12,91.34
lp-851-346,LP 851-346,35.7,,178.92677916666665,-22.417164722222225,M7.5V,0.1,,,91.269
lp-271-25,LP 271-25,35.8,,217.1783,33.17441222222222,M9Ve,0.06,,,91.163
cd-45-1184,CD-45 1184,35.8,,53.230829166666666,-44.70135027777778,M2.5V,0.34,11.5,11.3,91.148
lp-853-12,LP 853-12,35.8,,189.898925,-26.970549444444444,,0.1,,,91.113
wise-j01480725-7202587,WISE J014807.25-720258.7,35.8,,27.030237500000002,-72.04965194444445,T9.5,0.01,,,91.1
gliese-1129,Gliese 1129,35.8,,146.18982499999998,-18.21436361111111,M3.5Ve,0.3,12.5,12.2,90.993
beta-leonis,Beta Leonis,35.9,,177.2649125,14.572058055555555,A3Va,1.78,2.1,1.9,90.91
hd-160346,HD 160346,35.9,,264.8204958333333,3.5552433333333333,K3-V,0.8,6.5,6.3,90.91
2mass-j1624-0029,2MASS J1624+0029,35.9,,246.0598708333333,0.4877269444444444,T6V,,,,90.9
beta-virginis,Beta Virginis,35.9,,177.67715,1.7635186111111112,F9V,1.413,3.6,3.4,90.895
2mass-j12171110-0311131,2MASS J12171110-0311131,35.9,,184.29627083333335,-3.1869930555555555,T7.5,0.03,,,90.8
2mass-j15354167-2225254,2MASS J1535+2225,35.9,,233.92370416666668,22.423815,,0.04,,,90.79
gliese-438,Gliese 438,35.9,,175.83730416666666,-51.842934166666666,M1 D,0.4,10.4,10.2,90.734
ross-1003,Ross 1003,36,,175.43252916666665,42.75157388888889,M4.0Ve,0.34,13.8,13.6,90.69
wisea-j2354-0240,WISEA J2354+0240,36,,358.511625,2.670583333333333,Y1,0.02,,,90.599
eggr-148,EGGR 148,36,,325.6698166666667,20.996591666666667,DQ6,0.5,,,90.545
hd-11507,HD 11507,36.1,,28.208983333333332,-22.434864444444443,M0V,0.6,8.9,8.7,90.417
lp993-115,LP 993-115,36.2,,41.294895833333335,-43.74395583333333,M4,0.3,12.3,12.1,90.177
hd-166620,HD 166620,36.2,,272.4041291666667,38.45569583333334,K2V,0.791,6.4,6.2,90.123
lsr-j1826-3014,LSR J1826+3014,36.2,,276.53406666666666,30.23554027777778,M8.5V,0.08,19.4,19.1,90.086
ogle-blg-ecl-216148,OGLE BLG-ECL-216148,36.2,,269.52331666666663,-34.46576055555556,,0.05,19.3,19.1,90.04
gliese-740,Gliese 740,36.2,,284.49972916666667,5.9026975,M1.0Ve,0.58,9.2,9,90.021
gliese-3069,Gliese 3069,36.2,,15.495625,54.182177777777774,M5,0.2,,,90.013
scr-j0838-5855,SCR J0838-5855,36.2,,129.50851666666668,-58.93430111111111,M6e,0.1,17.2,16.9,89.993
mcc-188,MCC 188,36.3,,283.8646375,8.402201666666667,M3Ve,0.4,10.2,10,89.906
scr-j0717-0501,SCR J0717-0501,36.3,,109.3231125,-5.019386666666667,M3.5V,0.3,13.2,13,89.82
gamma-serpentis,Gamma Serpentis,36.4,,239.11471666666668,15.655912500000001,F6V,1.3,3.8,3.6,89.565
upm-j0812-3529,UPM J0812-3529,36.4,,123.1124375,-35.4954975,DAH,0.63,14.5,14.2,89.506
l-380-8,L 380-8,36.5,,92.72115416666668,-43.4016425,M4e,0.3,12.2,12,89.371
hd-74576,HD 74576,36.5,,130.82342083333333,-38.88086888888889,K3V,0.65,6.6,6.3,89.352
l-762-51,L 762-51,36.5,,206.45990833333335,-17.970680833333333,dM3.5,0.3,11.9,11.6,89.326
l-136-37,L 136-37,36.6,,110.21413333333334,-62.16902111111111,M3,0.4,12.4,12.1,89.197
gliese-173,Gliese 173,36.6,,69.42344166666668,-11.039752222222223,M1V,0.48,10.3,10.1,89.19
ross-508,Ross 508,36.6,,230.96127916666666,17.460359722222222,M4.92,0.177,13,12.8,89.128
eggr-248,EGGR 248,36.6,,87.83168749999999,-0.17152166666666666,DQ8P,,14.6,14.4,89.112
ucac4-608-044702,UCAC4 608-044702,36.6,,130.06767916666666,31.452426388888888,M3.5Ve,0.3,,,89.07
hd-28343,HD 28343,36.6,,67.25019583333334,21.92347527777778,M0.5V,0.6,8.3,8.1,89.055
2mass-j07003664-3157266,2MASS J0700+3157,36.6,,105.15349166666667,31.954629722222222,L3+L6.5,,,,89.018
2mass-j19251275-0700362,2MASS J19251275+0700362,36.6,,291.30337083333336,7.011040833333333,L7,0.03,,,88.997
arcturus,Arcturus,36.7,,213.915325,19.18240916666667,K1.5IIIFe-0.5,1.08,-0.1,-0.3,88.83
gliese-3959,Gliese 3959,36.7,,247.8274583333333,40.86572388888889,M6 V,0.15,,,88.823
g-107-69,G 107-69,36.8,,112.67692916666667,48.193953888888885,M4V,0.3,,,88.723
2mass-j16452211-1319516,2MASS J16452211-1319516,36.8,,251.34040833333333,-13.334776388888889,L1.5,,,,88.697
lp-625-34,LP 625-34,36.8,,250.02572083333334,0.7045341666666666,M5V,0.2,,,88.693
hd-85512,HD 85512,36.8,,147.78221666666664,-43.50488166666667,K6Vk:,0.69,7.7,7.4,88.674
pm-j17189-4131,PM J17189-4131,36.8,,259.726025,-41.53185277777778,M6,0.1,15.9,15.7,88.614
g-3-14,G 3-14,36.9,,25.832208333333334,4.318255277777777,M2V,0.5,10.9,10.6,88.306
lp-938-71,LP 938-71,36.9,,15.720995833333335,-37.62770944444444,M8.0V,,18.6,18.3,88.291
2massi-j1546271-332511,2MASSI J1546271-332511,37.1,,236.6132916666667,-33.41977305555555,T5.7,0.04,,,88
lsr-j0539-4038,LSR J0539+4038,37.1,,84.85715416666667,40.64152333333333,M8.0Ve,,17,16.7,87.975
2mass-j18283572-4849046,2MASS J18283572-4849046,37.1,,277.1488666666666,-48.817955000000005,T6,0.04,,,87.9
eta-bootis,Eta Boötis,37.2,,208.6711875,18.397720833333334,G0IV,1.71,2.7,2.4,87.75
lp-838-16,LP 838-16,37.2,,91.93135,-25.745763611111112,M3,0.4,11.9,11.6,87.702
woh-g-618,WOH G 618,37.2,,88.36040833333333,-71.56206611111111,M6.0 D,,16.9,16.6,87.68
g-34-23,G 34-23,37.2,,20.543054166666668,22.15076111111111,M4.0V C,0.3,,,87.6
2mass-j17545447-1649196,2MASS J17545447+1649196,37.2,,268.72700416666663,16.82213,T5.5 C,0.07,,,87.6
hd-222237,HD 222237,37.3,,354.9079583333333,-72.72542944444444,K3+V,0,7.1,6.8,87.372
v-ot-ser,OT Serpentis,37.3,,230.47097499999998,20.97832222222222,M1.0V,0.55,10,9.7,87.325
gliese-1187,Gliese 1187,37.4,,224.47618749999998,56.6539225,M5.5V,0.1,,,87.203
wise-j22205531-3628174,WISE 2220-3628,37.4,,335.23053749999997,-36.47152694444445,Y0,0.02,,,87.2
ucac2-16493854,UCAC2 16493854,37.5,,288.16784583333333,-36.257738333333336,,0.2,,,87.084
rx-j07131-0511,RX J0713.1-0511,37.5,,108.2966625,-5.1982025,M3Ve,0.4,11.2,10.9,87.007
gliese-3668,Gliese 3668,37.5,,172.78682083333334,-14.962011944444443,M5,0.2,14.2,13.9,86.9
ucac4-427-122653,UCAC4 427-122653,37.5,,326.82388333333336,-4.744613611111111,M4.0V,0.2,14.3,14,86.873
gliese-3189,Gliese 3189,37.6,,44.542625,-12.885,sdM3.0,0.24,12.7,12.4,86.82
2mass-j1246-3139,2MASS J1246-3139,37.6,,191.6235125,-31.6604025,T1,0.07,,,86.817
ross-119,Ross 119,37.6,,178.53325,9.802773333333334,M4.0V,0.3,12.9,12.5,86.779
2mass-j2359-7335,2MASS J2359-7335,37.6,,359.91814999999997,-73.58486194444444,T5.5,0.07,,,86.7
mcc-568,MCC 568,37.6,,153.01947083333332,-2.6847697222222227,M2.5V B,0.4,10.6,10.3,86.65
ross-85,Ross 85,37.7,,145.2901625,13.20892611111111,M2.5V,0.4,10.4,10.1,86.62
v-cc-eri,V* CC Eri,37.7,,38.59439583333333,-43.79765694444444,K7V,0.7,8.9,8.6,86.612
gliese-842,Gliese 842,37.7,,329.9024375,-59.75337277777778,M0.5V,0.58,9.7,9.4,86.561
ssspm-j1358-3938,SSSPM J1358-3938,37.7,,209.53254583333333,-39.63592916666666,M3.5 d,0.3,,,86.54
wise-j06230994-0456246,WISE J0623-0456,37.7,,95.78866666666667,-4.939666666666667,T8,0.013,,,86.5
lawd-79,LAWD 79,37.7,,299.11985,-1.0455475,DA6.4,0.7,13.6,13.2,86.466
2mass-j02511490-0352459,2MASS J02511490-0352459,37.8,,42.8174625,-3.888260277777778,L3,,,,86.293
2mass-j2224-0158,2MASS J2224-0158,37.9,,336.18485416666664,-1.985351111111111,L4.5V,,,-0.3,86.151
scr-j1855-6914,SCR J1855-6914,37.9,,283.95525000000004,-69.2405611111111,M6e D,,16.6,16.3,86.141
wolf-230,Wolf 230,37.9,,76.95544999999998,17.98268333333333,M2V,0.5,,,86.1
v-de-boo,DE Bootis,37.9,,223.34696250000002,19.153760833333333,K0.5V,0.8,,,85.993
l-308-57,L 308-57,38,,95.27758333333333,-49.09274138888889,,0.2,13.3,13,85.91
g-41-8,G 41-8,38,,134.08123750000001,12.66273138888889,M6V C,0.1,14.5,14.1,85.804
lspm-j0602-3910,LSPM J0602+3910,38,,90.62786666666666,39.18069055555555,L1V,,,,85.757
gliese-2106,Gliese 2106,38,,213.30651666666668,-56.741262222222225,M2V: D,0.5,10.2,9.8,85.724
lsr-j2000-3057,LSR J2000+3057,38.1,,300.0257041666667,30.964601666666667,M6Ve,0.1,15.6,15.3,85.676
ssspm-j0829-1309,SSSPM J0829-1309,38.1,,127.13975,-13.155389166666668,L2,0.06,,,85.601
l-623-94,L 623-94,38.2,,230.5562875,-27.82579722222222,M3: E,0.4,13.3,12.9,85.473
cd-35-2213,CD-35 2213,38.2,,79.34426666666667,-35.365923055555555,M4Ve,0.3,11.7,11.3,85.452
2massw-j1506544-132106,2MASSW J1506544+132106,38.2,,226.72151666666664,13.351625277777778,L3,,,,85.425
ross-271,Ross 271,38.2,,332.8769541666667,18.426998611111113,M2V,0.5,10.2,9.9,85.406
g-112-21,G 112-21,38.3,,112.19131666666667,-3.3016469444444443,M3V,0.4,11.5,11.1,85.218
wisea-j12060425-8401105,WISEA J120604.25+840110.5,38.3,,181.51828333333333,84.019635,Y0 C,0.01,,,85.12
l-127-97,L 127-97,38.3,,43.1022125,-63.676991666666666,M2.5,0.4,11.4,11,85.117
cd-28-302,CD-28 302,38.4,,14.622945833333333,-27.858385000000002,M3V,0.4,11.8,11.4,84.979
gaia-edr3-6887029163498137856,Gaia EDR3 6887029163498137856,38.4,,313.91380833333335,-14.037655555555556,,0.3,,,84.856
bd-05-1737,BD-05 1737,38.5,,100.0587625,-5.875749722222222,M2,0.5,10.2,9.9,84.797
g-234-5,G 234-5,38.5,,113.60947916666667,62.940999999999995,M0V,0.6,,,84.7
hd-125072,HD 125072,38.6,,214.766175,-59.38264083333333,K3IV,0.806,6.7,6.3,84.603
wolf-918,Wolf 918,38.6,,317.3258916666667,-13.311372222222223,M1V C,0.44,10.9,10.5,84.44
2mass-j1425-3650,2MASS J1425-3650,38.6,,216.36503749999997,-36.84187777777778,L4 C,0.05,,,84.422
gaia-edr3-558611490995613056,Gaia EDR3 558611490995613056,38.6,,30.479945833333336,73.54177194444445,,0.1,,,84.394
gaia-edr3-4269379774976572160,Gaia EDR3 4269379774976572160,38.6,,286.95042083333334,4.287781111111111,,0.02,,,84.388
wt-392,WT 392,38.7,,198.28275,-41.510936111111114,M5,0.2,,,84.314
eggr-375,EGGR 375,38.7,,289.7444791666667,38.721514444444445,DC7 C,,,,84.244
g-123-45,G 123-45,38.7,,189.11737916666667,35.19971555555555,M4.5V,0.2,,,84.222
gliese-3126,Gliese 3126,38.8,,30.394679166666663,63.76957861111111,M2.5Ve,0.44,,,84.055
lp-276-22,LP 276-22,38.8,,251.62931666666665,34.580290277777785,M6.0V,,,,84.008
